#,Area,Given,When,Then,Environment,Setup Tags,Comparative,Tests
1,Token Registration,autoFetchDeviceToken: true (default) and APNPushProvider is configured,configure() completes,SDK calls UIApplication.shared.registerForRemoteNotifications() automatically,Demo App,APNs,Yes,
2,Token Registration,autoFetchDeviceToken: false,configure() completes,SDK does not call registerForRemoteNotifications(); the host app must call it manually,Demo App,"APNs, Non-default Config",Yes,
3,Token Registration,APNPushProvider is configured,didRegisterForRemoteNotifications(withDeviceToken:) is called,The token is persisted to DeviceStore and a Device Created or Updated event is uploaded,Demo App,APNs,Yes,
4,Token Registration,A custom PushTokenProvider (FCM wrapper) is configured,observeTokenRefresh callback fires with an FCM token,The token is persisted to DeviceStore and a Device Created or Updated event is uploaded,Demo App,FCM,Yes,
5,Token Registration,A token is already registered,didRegisterForRemoteNotifications fires with the same token,No Device Created or Updated event is uploaded; the token is already current,Integration Testing,APNs,Yes,
6,Token Registration,A token is already registered,didRegisterForRemoteNotifications fires with a new token,The new token is persisted and a Device Created or Updated event is uploaded,Integration Testing,APNs,Yes,
7,Token Registration,tokenFromAPNSData returns nil (FCM token not yet ready),didRegisterForRemoteNotifications is called,No device update is sent immediately; the token arrives later via the observeTokenRefresh callback,Integration Testing,FCM,Yes,
8,Token Deregistration,A device token is registered,unregisterDevice() is called,A Device Deleted event is sent to the backend; the local token is retained in DeviceStore,Demo App,APNs,Yes,
9,Token Deregistration,No token has been registered,unregisterDevice() is called,No event is sent; the call returns silently,Unit Testing,APNs,Yes,
10,Token Lifecycle,A device token is registered and a user is identified,identify() is called with a different user ID,A Device Deleted event is sent for the previous profile then identify fires then Device Created or Updated re-registers the token to the new profile,Demo App,"APNs, Identified",Yes,
11,Token Lifecycle,A device token is registered and no user is identified,"identify(""user-123"") is called",Device Deleted fires then the identify event fires then Device Created or Updated re-registers the token to the new profile,Demo App,"APNs, Anonymous",Yes,
12,Push Foreground Display,showInForeground: true (default) and autoTrackPushEvents: true,A CIO alert push arrives while the app is foregrounded,The push banner is shown and a delivered metric is tracked,Demo App,"APNs, Foreground",Yes,
13,Push Foreground Display,showInForeground: false and autoTrackPushEvents: true,A CIO alert push arrives while the app is foregrounded,The push banner is suppressed; a delivered metric is still tracked,Demo App,"APNs, Non-default Config, Foreground",Yes,
14,Push Foreground Display,autoTrackPushEvents: true,A non-CIO alert push arrives while the app is foregrounded,The push is forwarded to the proxy; no CIO metric is tracked,Demo App,"APNs, Foreground",Yes,
